"Name","Required","Default","Description"
"auth","true","{}","Refer to the auth properties ref"
"cloud.secureConnectBundle","true","",""
"compression","true","None",""
"connectionPoolLocalSize","true","4",""
"ignoreErrors","true","None",""
"jmx","true","true",""
"maxConcurrentRequests","true","500",""
"maxNumberOfRecordsInBatch","true","32",""
"queryExecutionTimeout","true","30",""
"task.max","true","1",""
"tasks.max","true","1",""
"topic","true","{}","Refer to the topic properties ref"
"topics","true","","The topic name to watch"
