Name,Required,Default,Description
azureStorageAccountConnectionString,true,,The Azure Blob Storage connection string. Required when authenticating via connection string.
azureStorageAccountKey,true,,The Azure Blob Storage account key. Required when authenticating via account name and account key.
azureStorageAccountName,true,,The Azure Blob Storage account name. Required when authenticating via account name and account key.
azureStorageAccountSASToken,true,,The Azure Blob Storage account SAS token. Required when authenticating via SAS token.
bucket,true,null,The Cloud Storage bucket.
endpoint,true,null,The Azure Blob Storage endpoint.
provider,true,null,The Cloud Storage type. Azure Blob Storage only supports the azure-blob-storage provider.
avroCodec,false,snappy,"Compression codec used when formatType=avro. Available compression types are: null (no compression), deflate, bzip2, xz, zstandard, snappy."
batchSize,false,10,The number of records submitted in batch.
batchTimeMs,false,1000,The interval for batch submission.
bytesFormatTypeSeparator,false,0x10,"It is inserted between records for the formatType of bytes. By default, it is set to '0x10'. An input record that contains the line separator looks like multiple records in the output object."
formatType,false,json,"The data format type. Available options are JSON, Avro, Bytes, or Parquet. By default, it is set to JSON."
jsonAllowNaN,false,false,"Recognize 'NaN', 'INF', '-INF' as legal floating number values when formatType=json. Since JSON specification does not allow such values this is a non-standard feature and disabled by default."
maxBatchBytes,false,10000000,The maximum number of bytes in a batch.
parquetCodec,false,gzip,"Compression codec used when formatType=parquet. Available compression types are: null (no compression), snappy, gzip, lzo, brotli, lz4, zstd."
partitionerType,false,partition,"The partitioning type. It can be configured by topic partitions or by time. By default, the partition type is configured by topic partitions."
partitionerUseIndexAsOffset,false,false,"Whether to use the Pulsar's message index as offset or the record sequence. It's recommended if the incoming messages may be batched. The brokers may or not expose the index metadata and, if it's not present on the record, the sequence will be used. See PIP-70 for more details."
pathPrefix,false,false,"If it is set, the output files are stored in a folder under the given bucket path. The pathPrefix must be in the format of xx/xxx/."
pendingQueueSize,false,10,"The number of records buffered in queue. By default, it is equal to batchSize. You can set it manually."
skipFailedMessages,false,false,"Configure whether to skip a message which it fails to be processed. If it is set to true, the connector will skip the failed messages by ack it. Otherwise, the connector will fail the message."
sliceTopicPartitionPath,false,false,"When it is set to true, split the partitioned topic name into separate folders in the bucket path."
timePartitionDuration,false,86400000,"The time interval for time-based partitioning. Support formatted interval string, such as 30d, 24h, 30m, 10s, and also support number in milliseconds precision, such as 86400000 refers to 24h or 1d."
timePartitionPattern,false,yyyy-MM-dd,"The format pattern of the time-based partitioning. For details, refer to the Java date and time format."
useHumanReadableMessageId,false,false,"Use a human-readable format string for messageId in message metadata. The messageId is in a format like ledgerId:entryId:partitionIndex:batchIndex. Otherwise, the messageId is a Hex-encoded string."
useHumanReadableSchemaVersion,false,false,"Use a human-readable format string for the schema version in the message metadata. If it is set to true, the schema version is in plain string format. Otherwise, the schema version is in hex-encoded string format."
withMetadata,false,false,Save message attributes to metadata.
withTopicPartitionNumber,false,true,"When it is set to true, include the topic partition number to the object path."
